#############################################;;;;;;;;;;;;;;x
#New Bookmarks;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
RENO_NAME;Commonwealth Released;;;;;;;;;;;x
RENO_DESC;Commonwealth released start.;;;;;;;;;;;x
#############State Nations (Pero Credit)##############;;;;;;;;;;;;;;x
SMA;ßYSmall State Flag\nßWThis flag dynamically assigns a size to this state. This province is in a state that has below 400k pops.;;;;;;;;;;;;;x
MED;ßYMedium State Flag\nßWThis flag dynamically assigns a size to this state. This province is in a state that has below 700k pops.;;;;;;;;;;;;;x
LRG;ßYLarge State Flag\nßWThis flag dynamically assigns a size to this state. This province is in a state that has below 1m pops.;;;;;;;;;;;;;x
HUG;ßYHuge State Flag\nßWThis flag dynamically assigns a size to this state. This province is in a state that has above 1m pops.;;;;;;;;;;;;;x
STR;ßYStrategic State Flag\nßWThis flag dynamically assigns importance to this state. This province is in a state that has strategic value.;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New National Focuses;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
assimilation_focus;Increase Assimilation Rate;;;;;;;;x;;;;
assimilation_focus_desc;Increase state assimilation rate by 200%.;;;;;;;;x;;;;
assimilation_focus_header;Assimilation;;;;;;;;x;;;;
#############################################;;;;;;;;;;;;;;x
#New Units;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
infantry_offensive;Offensive Infantry;;;;;;;;;;;;;x
infantry_defensive;Defensive Infantry;;;;;;;;;;;;;x
artillery_offensive;Offensive Artillery;;;;;;;;;;;;;x
artillery_defensive;Defensive Artillery;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New Continents;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
phillipines;Philippines;;;;;;;;;x;;;;
korea;Korea;;;;;;;;;x;;;;
china;China;;;;;;;;;x;;;;
japan;Japan;;;;;;;;;x;;;;
italy;Italy;;;;;;;;;x;;;;
india;India;;;;;;;;;x;;;;
indo_china;Indo-China;;;;;;;;;x;;;;
balkan;Balkans;;;;;;;;;x;;;;
asia_minor;Asia Minor;;;;;;;;;x;;;;
central_asia;Central Asia;;;;;;;;;x;;;;
indonesia;Indonesia;;;;;;;;;x;;;;
polynesia_micronesia;Polynesia and Micronesia;;;;;;;;;x;;;;
australia;Australia and New Zealand;;;;;;;;;x;;;;
#############################################;;;;;;;;;;;;;;x
#Generic Political Parties;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
generic_conservative;Generic Conservative;;;;;;;;;;;;;x
generic_reactionary;Generic Reactionary;;;;;;;;;;;;;x
generic_liberal;Generic Liberal;;;;;;;;;;;;;x
generic_socialist;Generic Socialist;;;;;;;;;;;;;x
generic_communist;Generic Communist;;;;;;;;;;;;;x
generic_fascist;Generic Fascist;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Event and Decision Names;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
clear_psychology_bonus_title;ßRClear All National Promotion Bonuses;;;;;;;;;;;;;;x
clear_psychology_bonus_desc;This decision clears all of your current national promotion bonuses, allowing you to choose different options for the bonuses you do have unlocked.;;;;;;;;;;;;;;x
france_flower_title;France, Flower of Europe!;;;;;;;;;;;;;;x
france_flower_desc;As France's prestige reaches unprecedented heights, it serves as a catalyst for the remarkable growth of its population. The allure of France's cultural magnificence, its illustrious history, and its unparalleled contributions to the realms of art, literature, and philosophy have captivated the hearts and minds of people from far and wide. The reputation of France as a center of refinement and sophistication has drawn countless individuals seeking to be part of its vibrant tapestry. The population surges as ambitious dreamers, talented artisans, and aspiring intellectuals flock to the nation, driven by the promise of a brighter future and the opportunity to bask in the radiance of France's prestige. The cosmopolitan cities of Paris, Bordeaux, and Lyon become bustling hubs of activity, buzzing with the energy of a diverse populace united by their shared desire to be part of the grand French narrative. As the population expands, so too does the nation's potential, with each new inhabitant adding to the rich mosaic of ideas, creativity, and innovation that propels France forward. This virtuous cycle of prestige and population growth intertwines, solidifying France's position as a global powerhouse, where the allure of its prestige continues to shape the destiny of a nation destined for greatness.;;;;;;;;;;;;;;x
#CREDIT to Keving for the Following;;;;;;;;;;;;;;x
z1manage_grants_title;ßYManage Money Grants and Military Supplies Aid;;;;;;;;;;;;;x
z1manage_grants_desc;Triggers an event that lets you enable giving grants, deny giving grants, or request money and military goods from other human players.;;;;;;;;;;;;;x
requested_grant;Requested Grant;;;;;;;;;;;;;x
requested_grant_desc;We have recently requested a grant and must wait awhile before asking for another one.;;;;;;;;;;;;;x
EVTNAMEgrantoptions;Grant Options;;;;;;;;;;;;;x
EVTDESCgrantoptions;In order to give player grants or military supplies, select the enable giving aid option. If you wish to automatically deny grants and military supplies, select the deny giving aid option. If you are asking for a money grant or military supplies, select the type of aid you wish to receive. Note that if you wish to give military supplies to another player, you must manually set your stockpile.;;;;;;;;;;;;;x
EVTNAMEinsufficientmoney;Insufficient Stockpile;;;;;;;;;;;;;x
EVTDESCinsufficientmoney;We do not have the required stockpile of supplies that we wish to send.;;;;;;;;;;;;;x
EVTOPTAinsufficientmoney;Ok.;;;;;;;;;;;;;x
EVTNAMEgivemoney;$FROMCOUNTRY$ Requests a Grant;;;;;;;;;;;;;x
EVTDESCgivemoney;$FROMCOUNTRY$ has asked us for a grant. Shall we give it to them?;;;;;;;;;;;;;x
Give_Nothing;Don't give anything.;;;;;;;;;;;;;x
Give_0.05M_Grant;Give them 50,000.;;;;;;;;;;;;;x
Give_0.1M_Grant;Give them 100,000.;;;;;;;;;;;;;x
Give_0.25M_Grant;Give them 250,000.;;;;;;;;;;;;;x
Give_0.5M_Grant;Give them 500,000.;;;;;;;;;;;;;x
Give_1M_Grant;Give them 1,000,000.;;;;;;;;;;;;;x
Give_2M_Grant;Give them 2,000,000.;;;;;;;;;;;;;x
EVTNAMEgiveartillery;$FROMCOUNTRY$ Requests Artillery;;;;;;;;;;;;;x
EVTDESCgiveartillery;$FROMCOUNTRY$ has asked us for a shipment of artillery. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Artillery;Give them 200.;;;;;;;;;;;;;x
Give_500_Artillery;Give them 500.;;;;;;;;;;;;;x
Give_1000_Artillery;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Artillery;Give them 1500.;;;;;;;;;;;;;x
Give_2000_Artillery;Give them 2000.;;;;;;;;;;;;;x
EVTNAMEgiveammunition;$FROMCOUNTRY$ Requests Ammunition;;;;;;;;;;;;;x
EVTDESCgiveammunition;$FROMCOUNTRY$ has asked us for a shipment of ammunition. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Ammunition;Give them 200.;;;;;;;;;;;;;x
Give_500_Ammunition;Give them 500.;;;;;;;;;;;;;x
Give_1000_Ammunition;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Ammunition;Give them 1500.;;;;;;;;;;;;;x
Give_2000_Ammunition;Give them 2000.;;;;;;;;;;;;;x
EVTNAMEgivesmallarms;$FROMCOUNTRY$ Requests Small Arms;;;;;;;;;;;;;x
EVTDESCgivesmallarms;$FROMCOUNTRY$ has asked us for a shipment of small arms. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Small_Arms;Give them 200.;;;;;;;;;;;;;x
Give_500_Small_Arms;Give them 500.;;;;;;;;;;;;;x
Give_1000_Small_Arms;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Small_Arms;Give them 1500.;;;;;;;;;;;;;x
Give_2000_Small_Arms;Give them 2000.;;;;;;;;;;;;;x
EVTNAMEgivesteamerconvoys;$FROMCOUNTRY$ Requests Steamer Convoys;;;;;;;;;;;;;x
EVTDESCgivesteamerconvoys;$FROMCOUNTRY$ has asked us for a shipment of steamer convoys. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Steamer_Convoys;Give them 200.;;;;;;;;;;;;;x
Give_500_Steamer_Convoys;Give them 500.;;;;;;;;;;;;;x
Give_1000_Steamer_Convoys;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Steamer_Convoys;Give them 1500.;;;;;;;;;;;;;x
Give_2000_Steamer_Convoys;Give them 2000.;;;;;;;;;;;;;x
EVTNAMEgiveclipperconvoys;$FROMCOUNTRY$ Requests Clipper Convoys;;;;;;;;;;;;;x
EVTDESCgiveclipperconvoys;$FROMCOUNTRY$ has asked us for a shipment of clipper convoys. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Clipper_Convoys;Give them 200.;;;;;;;;;;;;;x
Give_500_Clipper_Convoys;Give them 500.;;;;;;;;;;;;;x
Give_1000_Clipper_Convoys;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Clipper_Convoys;Give them 1500.;;;;;;;;;;;;;x
Give_2000_Clipper_Convoys;Give them 2000.;;;;;;;;;;;;;x
EVTNAMEgivecannedfood;$FROMCOUNTRY$ Requests Canned Food;;;;;;;;;;;;;x
EVTDESCgivecannedfood;$FROMCOUNTRY$ has asked us for a shipment of canned food. Shall we give it to them?;;;;;;;;;;;;;x
Give_200_Canned_Food;Give them 200.;;;;;;;;;;;;;x
Give_500_Canned_Food;Give them 500.;;;;;;;;;;;;;x
Give_1000_Canned_Food;Give them 1000.;;;;;;;;;;;;;x
Give_1500_Canned_Food;Give them 1500.;;;;;;;;;;;;;x
Give_2000_Canned_Food;Give them 2000.;;;;;;;;;;;;;x
#Credit End;;;;;;;;;;;;;;x
EVTNAME123412350;Literacy Fix for the Chinese;;;;;;;;;;;;;x;;;;;;;;;;;
EVTDESC123412350;This event increases the literacy rating for Chinese POPs to 20%. This reduce some of the unwarranted handicap on China.;;;;;;;;;;;;;x
tainan_treaty_port_title;The Tainan Treaty Port;;;;;;;;;;;;;x
tainan_treaty_port_desc;The island of Taiwan has always maintained some level of independence from the mainland, and even without official Qing assistance, this island has prospered well.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_diplomacy_title;Embrace the Ideal of Diplomacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_diplomacy_desc;The channels of power require an eye for detail, a fine touch, and a silver tongue. Let our people focus our energies into refining these qualities so we may be masters over those who are less.. refined.\n\nßYThe modifiers for this NV are:ßW\nßGDiplomatic Points Generation: +100%\nBase Influence Points Generation: +20%\nCB Generation Speed: +15%ßW;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_education_title;Embrace the Ideal of Education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_education_desc;Our people must look forward, ignoring the wanton worries of our rivals. Wield logic and rationality to march forward!\n\nßYThe modifiers for this NV are:ßW\nßGEducation Efficiency: +40%ßW;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_order_title;Embrace the Ideal of Order;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_order_desc;The foreigners progress and dominate through an orderly and organized society, based on a sense of duty to their country. If we were to embrace this ideal, we might strive as they do.\n\nßYThe modifiers for this NV are:ßW\nßGSoldier Promotion Bonus: +10% (Scales with Military Spending)\nOrganization Regain Rate: +5%ßW;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_production_title;Embrace the Ideal of Productivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_production_desc;The foreigners progress through an industrious society based on hard work. If we were to embrace this ideal, we might progress as they do.\n\nßYThe modifiers for this NV are:ßW\nßGCommerce Tech Research Bonus: +5%\nIndustry Tech Research Bonus: +5%\nCraftsmen Promotion Bonus: +10% (Scales with Administration Spending)ßW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_autocracy_title;Embrace the Ideal of Autocracy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_autocracy_desc;The foreigners progress through a society based on strong leadership, obedience and loyalty. If we were to embrace this ideal, we might progress as they do.\n\nßYThe modifiers for this NV are:ßW\nßGRuling Party Support: +30%\nLeadership Modifier: +100%\nArmy Tech Research Bonus: +5%ßW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
switch_to_equality_title;Embrace the Ideal of Equality;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_equality_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of equality and social fairness above all else.\n\nßYThe modifiers for this NV are:ßW\nßGBonus Assimilation Rate: +50%\nCulture Tech Research Bonus: +5%ßW;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
switch_to_liberty_title;Embrace the Ideal of Exploitation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
switch_to_liberty_desc;It is time for our nation to change the character of our people, to encourage them to consume and exploit the resources of the world to our benefit!\n\nßYThe modifiers for this NV are:ßW\nßGRGO Throughput: +10%\nFactory Input: -5%\nFactory Output: +5%ßW;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTA99999901;Nice.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA99999902;Nice.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA99999903;Nice.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA99999904;Nice.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA99999905;Nice.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME99999901;Tractors and Trawlers;;;;;;;;;;;;;;x
EVTDESC99999901;Mechanized farming, mining, and fishing has arrived in this country, which facilitates an increase in raw resource production.;;;;;;;;;;;;;;x
EVTNAME99999902;Electricity;;;;;;;;;;;;;;x
EVTDESC99999902;Electricity has arrived in this country, which facilitates an increase in raw resource production and industrial throughput.;;;;;;;;;;;;;;x
EVTNAME99999903;Nitroglycerin;;;;;;;;;;;;;;x
EVTDESC99999903;Nitroglycerin has arrived in this country, which facilitates an increase in raw resource production.;;;;;;;;;;;;;;x
EVTNAME99999904;Commercial Retailers;;;;;;;;;;;;;;x
EVTDESC99999904;Establishment of complex distribution channels has begun in this country, which facilitates an increase in raw resource production.;;;;;;;;;;;;;;x
EVTNAME99999905;Mechanized Production;;;;;;;;;;;;;;x
EVTDESC99999905;Mechanized production has arrived in this country, which facilitates an increase in raw resource production and industrial throughput.;;;;;;;;;;;;;;x
country_tractors;Tractors and Trawlers;;;;;;;;;;;;;;;;;;x,,,,,
desc_country_tractors;Mechanized farming, mining, and fishing has arrived in this country, which facilitates an increase in raw resource production.;;;;;;;;;;;;;;;;;;;x,,,,,
country_electricity;Electricity;;;;;;;;;;;;;;;;;;x,,,,,
