#############################################;;;;;;;;;;;;;;x
#National Focuses;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
tier_1_focus;Tier 1;;;;;;;;;x;;;;
tier_2_focus;Tier 2;;;;;;;;;x;;;;
tier_3_focus;Tier 3;;;;;;;;;x;;;;
tier_4_focus;Tier 4;;;;;;;;;x;;;;
tier_5_focus;Tier 5;;;;;;;;;x;;;;
tier_6_focus;Tier 6;;;;;;;;;x;;;;
world_bank_factory;World Bank;;;;;;;;;x;;;;
pop_needs_reduction;Reduce POP Needs;;;;;;;;;x;;;;
clerks_craftsmen;Promote Craftsmen and Clerks;;;;;;;;;x;;;;
input_clerks;Promote Clerks and Reduce Factory Inputs;;;;;;;;;x;;;;
output_clerks;Promote Clerks and Increase Factory Outputs;;;;;;;;;x;;;;
input_craftsmen;Promote Craftsmen and Reduce Factory Inputs;;;;;;;;;x;;;;
output_craftsmen;Promote Craftsmen and Increase Factory Outputs;;;;;;;;;x;;;;
factory_input_output_bonus;Reduce Factory Inputs and Increase Factory Outputs;;;;;;;;;x;;;;
input_output_craftsmen;Promote Craftsmen and Reduce Factory Inputs as well as Increase Factory Outputs;;;;;;;;;x;;;;
input_output_clerks;Promote Clerks and Reduce Factory Inputs as well as Increase Factory Outputs;;;;;;;;;x;;;;
input_output_soldiers;Promote Soldiers and Reduce Factory Inputs as well as Increase Factory Outputs;;;;;;;;;x;;;;
reduce_factory_input_output_bonus;Increase Factory Inputs and Decrease Factory Outputs of Rival;;;;;;;;;x;;;;
input_output_rgos;Reduce Factory Inputs, Increase Factory Outputs, and Increase Mining/Farming Efficiency;;;;;;;;;x;;;;
soldier_assimilation_bonus;Promote Soldiers and Boost Assimilation Rate;;;;;;;;;x;;;;
craftsmen_assimilation_bonus;Promote Craftsmen and Boost Assimilation Rate;;;;;;;;;x;;;;
factory_input_bonus;Reduce Factory Inputs;;;;;;;;;x;;;;
factory_output_bonus;Increase Factory Outputs;;;;;;;;;x;;;;
mining_bonus;Bonus Mining Efficiency;;;;;;;;;x;;;;
farming_bonus;Bonus Farming Efficiency;;;;;;;;;x;;;;
assimilation_bonus;Bonus Assimilation Rate;;;;;;;;;x;;;;
internal_migration;Internal Migrant Priority;;;;;;;;;x;;;;
bureaucrat_migration_bonus;Promote Bureaucrats and Increase Internal Migrant Priority;;;;;;;;;x;;;;
internal_push;Increased Migration Push;;;;;;;;;x;;;;
ship_focus;Ship Repair Speed;;;;;;;;;x;;;;
militancy_and_reform_focus;Raise Reform Desire and Militancy;;;;;;;;;x;;;;
mine_and_farm_bonus;Bonus Mining and Farming Efficiency;;;;;;;;;x;;;;
promote_aristocrats;Encourage Aristocrats Tier 1;Encourager les aristocrates ;Aristokraten fˆrdern;;Potenciar aristÛcratas ;;;;;;;;;x;;;;
promote_artisans;Encourage Artisans Tier 1;Encourager les artisans ;Handwerker fˆrdern;;Potenciar artesanos ;;;;;;;;;x;;;;
promote_bureaucrats;Encourage Bureaucrats Tier 1;Encourager les bureaucrates ;BÅEokraten fˆrdern;;Potenciar burÛcratas ;;;;;;;;;x;;;;
promote_capitalists;Encourage Capitalists Tier 1;Encourager les capitalistes ;Kapitalisten fˆrdern;;Potenciar capitalistas ;;;;;;;;;x;;;;
promote_clergymen;Encourage Clergymen Tier 1;Encourager les membres du clergÅE;Geistliche fˆrdern;;Potenciar clÈrigos ;;;;;;;;;x;;;;
promote_clerks;Encourage Clerks Tier 1;Encourager les employÈs ;Angestellte fˆrdern;;Potenciar oficinistas ;;;;;;;;;x;;;;
promote_craftsmen;Encourage Craftsmen Tier 1;Encourager les ouvriers ;Facharbeiter fˆrdern;;Potenciar obreros ;;;;;;;;;x;;;;
promote_farmers;Encourage Farmers Tier 1;Encourager les fermiers ;Bauern fˆrdern;;Potenciar campesinos ;;;;;;;;;x;;;;
promote_labourers;Encourage Labourers Tier 1;Encourager les mineurs ;Arbeiter fˆrdern;;Potenciar peones ;;;;;;;;;x;;;;
promote_officers;Encourage Officers Tier 1;Encourager les officiers ;Offiziere fˆrdern;;Potenciar oficiales ;;;;;;;;;x;;;;
promote_soldiers;Encourage Soldiers Tier 1;Encourager les soldats ;Soldaten fˆrdern;;Potenciar soldados ;;;;;;;;;x;;;;
promote_bureaucrats_2;Encourage Bureaucrats Tier 2;;;;;;;;;x;;;;
promote_capitalists_2;Encourage Capitalists Tier 2;;;;;;;;;x;;;;
promote_clergymen_2;Encourage Clergymen Tier 2;;;;;;;;;x;;;;
promote_clerks_2;Encourage Clerks Tier 2;;;;;;;;;x;;;;
promote_craftsmen_2;Encourage Craftsmen Tier 2;;;;;;;;;x;;;;
promote_officers_2;Encourage Officers Tier 2;;;;;;;;;x;;;;
promote_soldiers_2;Encourage Soldiers Tier 2;;;;;;;;;x;;;;
promote_bureaucrats_3;Encourage Bureaucrats Tier 3;;;;;;;;;x;;;;
promote_capitalists_3;Encourage Capitalists Tier 3;;;;;;;;;x;;;;
promote_clergymen_3;Encourage Clergymen Tier 3;;;;;;;;;x;;;;
promote_clerks_3;Encourage Clerks Tier 3;;;;;;;;;x;;;;
promote_craftsmen_3;Encourage Craftsmen Tier 3;;;;;;;;;x;;;;
promote_officers_3;Encourage Officers Tier 3;;;;;;;;;x;;;;
promote_soldiers_3;Encourage Soldiers Tier 3;;;;;;;;;x;;;;
promote_bureaucrats_4;Encourage Bureaucrats Tier 4;;;;;;;;;x;;;;
promote_capitalists_4;Encourage Capitalists Tier 4;;;;;;;;;x;;;;
promote_clergymen_4;Encourage Clergymen Tier 4;;;;;;;;;x;;;;
promote_clerks_4;Encourage Clerks Tier 4;;;;;;;;;x;;;;
promote_craftsmen_4;Encourage Craftsmen Tier 4;;;;;;;;;x;;;;
promote_officers_4;Encourage Officers Tier 4;;;;;;;;;x;;;;
promote_soldiers_4;Encourage Soldiers Tier 4;;;;;;;;;x;;;;
promote_bureaucrats_5;Encourage Bureaucrats Tier 5;;;;;;;;;x;;;;
promote_capitalists_5;Encourage Capitalists Tier 5;;;;;;;;;x;;;;
promote_clergymen_5;Encourage Clergymen Tier 5;;;;;;;;;x;;;;
promote_clerks_5;Encourage Clerks Tier 5;;;;;;;;;x;;;;
promote_craftsmen_5;Encourage Craftsmen Tier 5;;;;;;;;;x;;;;
promote_officers_5;Encourage Officers Tier 5;;;;;;;;;x;;;;
promote_soldiers_5;Encourage Soldiers Tier 5;;;;;;;;;x;;;;
promote_bureaucrats_6;Encourage Bureaucrats Tier 6;;;;;;;;;x;;;;
promote_capitalists_6;Encourage Capitalists Tier 6;;;;;;;;;x;;;;
promote_clergymen_6;Encourage Clergymen Tier 6;;;;;;;;;x;;;;
promote_clerks_6;Encourage Clerks Tier 6;;;;;;;;;x;;;;
promote_craftsmen_6;Encourage Craftsmen Tier 6;;;;;;;;;x;;;;
promote_officers_6;Encourage Officers Tier 6;;;;;;;;;x;;;;
promote_soldiers_6;Encourage Soldiers Tier 6;;;;;;;;;x;;;;
production_focus;Production ;Production ;Produktion;;ProducciÛn ;;;;;;;;;x;;;;
automation_focus;Encourage Automotive Industry ;Encourager l'industrie automobile ;Automobilindustrie fˆrdern;;Potenciar industria automotriz ;;;;;;;;;x;;;;
electrical_focus;Encourage Electrical Industry ;Encourager l'industrie Èlectrique ;Elektroindustrie fˆrdern;;Potenciar industria elÈctrica ;;;;;;;;;x;;;;
chemical_focus;Encourage Chemical Industry ;Encourager l'industrie chimique ;Chemische Industrie fˆrdern;;Potenciar industria qu˙äica ;;;;;;;;;x;;;;
shipping_focus;Encourage Shipping Industry ;Encourager l'industrie navale ;Schifffahrtsindustrie fˆrdern;;Potenciar industria naval ;;;;;;;;;x;;;;
textile_focus;Encourage Textile Industry ;Encourager l'industrie textile ;Textilindustrie fˆrdern;;Potenciar industria textil ;;;;;;;;;x;;;;
wood_focus;Encourage Wood Industry ;Encourager l'industrie du bois ;Holzindustrie fˆrdern;;Potenciar industria maderera ;;;;;;;;;x;;;;
basic_industry_focus;Encourage Basic Industry ;Encourager l'industrie de base ;Grundstoffindustrie fˆrdern;;Potenciar industria b·sica ;;;;;;;;;x;;;;
armaments_focus;Encourage Armaments Industry ;Encourager l'industrie de l'armement ;Waffenindustrie fˆrdern;;Potenciar industria de armamentos ;;;;;;;;;x;;;;
consumer_focus;Encourage Consumer Goods Industry ;Encourager l'industrie des biens de consommation ;GebrauchsgÅEerindustrie fˆrdern;;Potenciar industria de bienes de consumo ;;;;;;;;;x;;;;
railroad_build_desc;Capitalists ßY$VAL$ßW% more likely to build railroads.;ßY$VAL$%ßW des capitalistes ont plutÙt tendance ÅEconstruire des chemins de fer.;Kapitalisten bauen ßY$VAL$ßW% mit grˆﬂerer Wahrscheinlichkeit Eisenbahnen.;;Un ßY$VAL$ßW% de capitalistas prefieren construir ferrocarriles.;;;;;;;;;x;;;;
immigration_focus_desc;Migrants ßY$VAL$ßW% more likely to choose region.;ßY$VAL$%ßW des immigrants ont plutÙt tendance ÅEchoisir une rÈgion.;Einwanderer w‰hlen diese Region mit um ßY$VAL$ßW% grˆﬂerer Wahrscheinlichkeit aus.;;Un ßY$VAL$ßW% de inmigrantes prefieren elegir regiÛn.;;;;;;;;;x;;;;
colony_focus_desc;Increase colony level by about ßY$VAL$ßW% each month.;Augmenter le niveau de la colonie d'environ ßY$VAL$%ßW tous les mois.;Kolonialstufe monatlich um ßY$VAL$ßW% erhˆhen.;;Incrementa el nivel de colonia en torno a un ßY$VAL$ßW% cada mes.;;;;;;;;;x;;;;
REMOVE_FOCUS;Remove Focus;Supprimer la cause;Fokus entfernen;;Quitar prioridad;;;;;;;;;x;;;;
#############################################;;;;;;;;;;;;;;x
#New Bookmarks;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
RENO_NAME;Commonwealth Released;;;;;;;;;;;x
RENO_DESC;Commonwealth released start.;;;;;;;;;;;x
#############State Nations (Pero Credit)##############;;;;;;;;;;;;;;x
TIN;ßGTiny State Flag\nßWThis province is in a state that meets the following criteria:\nßY1836 - 1870 ßWLess than 100k POPs\nßY1870 - 1900 ßWLess than 150k POPs\nßY1900+ ßWLess than 200k POPs\n\nßRWarscore Costs (0.5x For Great Wars)\nßWThis province is in a state that has the following costs:\nßYAcquire Core: ßW4% Warscore\nßYAcquire State: ßW12% Warscore\nßYDemand Concession: ßW8% Warscore\nßYPlace in the Sun: ßW4% Warscore\nßYFree Peoples: ßW12% Warscore\nßYTake Capital: ßW66% Warscore;;;;;;;;;;;;;x
SMA;ßGSmall State Flag\nßWThis province is in a state that meets the following criteria:\nßY1836 - 1870 ßW100k to 400k POPs\nßY1870 - 1900 ßW150k to 600k POPs\nßY1900+ ßW200k to 800k POPs\n\nßRWarscore Costs (0.5x For Great Wars)\nßWThis province is in a state that has the following costs:\nßYAcquire Core: ßW12% Warscore\nßYAcquire State: ßW24% Warscore\nßYDemand Concession: ßW16% Warscore\nßYPlace in the Sun: ßW8% Warscore\nßYFree Peoples: ßW24% Warscore\nßYTake Capital: ßW66% Warscore;;;;;;;;;;;;;x
MED;ßGMedium State Flag\nßWThis province is in a state that meets the following criteria:\nßY1836 - 1870 ßW400k to 700k POPs\nßY1870 - 1900 ßW600k to 1M POPs\nßY1900+ ßW800k to 1.4M POPs\n\nßRWarscore Costs (0.5x For Great Wars)\nßWThis province is in a state that has the following costs:\nßYAcquire Core: ßW16% Warscore\nßYAcquire State: ßW32% Warscore\nßYDemand Concession: ßW24% Warscore\nßYPlace in the Sun: ßW12% Warscore\nßYFree Peoples: ßW32% Warscore\nßYTake Capital: ßW66% Warscore;;;;;;;;;;;;;x
LRG;ßGLarge State Flag\nßWThis province is in a state that meets the following criteria:\nßY1836 - 1870 ßW700k to 1M POPs\nßY1870 - 1900 ßW1M to 1.5M POPs\nßY1900+ ßW1.4M to 2M POPs\n\nßRWarscore Costs (0.5x For Great Wars)\nßWThis province is in a state that has the following costs:\nßYAcquire Core: ßW24% Warscore\nßYAcquire State: ßW48% Warscore\nßYDemand Concession: ßW32% Warscore\nßYPlace in the Sun: ßW16% Warscore\nßYFree Peoples: ßW48% Warscore\nßYTake Capital: ßW66% Warscore;;;;;;;;;;;;;x
HUG;ßGHuge State Flag\nßWThis province is in a state that meets the following criteria:\nßY1836 - 1870 ßWGreater than 1M POPs\nßY1870 - 1900 ßWGreater than 1.5M POPs\nßY1900+ ßWGreater than 2M POPs\n\nßRWarscore Costs (0.5x For Great Wars)\nßWThis province is in a state that has the following costs:\nßYAcquire Core: ßW32% Warscore\nßYAcquire State: ßW64% Warscore\nßYDemand Concession: ßW40% Warscore\nßYPlace in the Sun: ßW20% Warscore\nßYFree Peoples: ßW64% Warscore\nßYTake Capital: ßW66% Warscore;;;;;;;;;;;;;x
STR;ßGDebug Tag;;;;;;;;;;;;;x
STR_ADJ;Debug;;;;;;;;;;;;;x
COM;The Commonwealth;;;;;;;;;;;;;x
COM_ADJ;British;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New National Focuses;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
assimilation_focus;Increase Assimilation Rate;;;;;;;;x;;;;
assimilation_focus_desc;Increase state assimilation rate by 200%.;;;;;;;;x;;;;
assimilation_focus_header;Assimilation;;;;;;;;x;;;;
#############################################;;;;;;;;;;;;;;x
#New Units;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
infantry_offensive;Offensive Infantry;;;;;;;;;;;;;x
infantry_defensive;Defensive Infantry;;;;;;;;;;;;;x
artillery_offensive;Offensive Artillery;;;;;;;;;;;;;x
artillery_defensive;Defensive Artillery;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New Continents;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
phillipines;Philippines;;;;;;;;;x;;;;
korea;Korea;;;;;;;;;x;;;;
china;China;;;;;;;;;x;;;;
japan;Japan;;;;;;;;;x;;;;
italy;Italy;;;;;;;;;x;;;;
india;India;;;;;;;;;x;;;;
indo_china;Indo-China;;;;;;;;;x;;;;
balkan;Balkans;;;;;;;;;x;;;;
asia_minor;Asia Minor;;;;;;;;;x;;;;
